Код заказа,Станция старта,Станция финиша,Расчетная дата старта,Плановая дата старта,Время в пути,Мин допустимый объем,Запрошенный объем,Тарифы,Запрошенный тип вагона,Приоритет,Примененный тариф
303953_816495253508_0717,644708,253508,11,11,13,2,2,32238,2284,4,32238
303955_816499644803_0717,657907,644803,11,11,13,2,2,9616,2003,4,9616
303977_816575828501_0717,800008,828501,11,11,13,2,2,9749,2003,4,9749
305170_830580944702_0717,946801,944702,11,11,13,2,2,8550,2025,4,8550
306742_824808801405_0717,761405,801405,11,11,14,3,3,22582,2004,1,22582
302191_830663770300_0717,806708,770300,11,11,15,2,2,30558,2253,4,30558
302191_830667828501_0717,806708,828501,11,11,15,3,3,28841,2253,4,28841
303092_814751954704_0717,950807,954704,11,11,15,2,2,22753,2032,4,22753
303471_815502761405_0717,244208,761405,11,11,15,3,3,37182,2289,4,37182
303953_816496800101_0717,644708,800101,11,11,15,2,2,38959,2284,4,38959
304708_818048610807_0717,635306,610807,11,11,15,2,2,26466,2291,4,26466
304739_818114800101_0717,644606,800101,11,11,15,2,2,30092,2003,4,30092
304760_818153220504_0717,250904,220504,11,11,15,2,2,22839,2001,4,22839
304766_818167251305_0717,581407,251305,11,11,15,2,2,37131,2010,4,37131
305181_819091076103_0717,302507,76103,11,11,15,2,2,35239,2003,4,35239
306035_822509892103_0717,850401,892103,11,11,15,2,2,25947,2032,4,25947
307939_829240618207_0717,192605,618207,11,11,15,2,2,45080,2002,4,45080
304677_817988284101_0717,310109,284101,11,11,15,2,2,9616,2002,3,9616
305207_819137520901_0717,611602,520901,11,11,15,3,3,48335,2032,3,48335
303115_814784544501_0717,618207,544501,11,11,15,5,5,31494,2018,1,31494
307583_827380870405_0717,890907,870405,11,11,15,6,6,33351,2003,1,33351
308230_830293542703_0717,611602,542703,11,11,15,2,2,46757,2032,1,46757
308236_830310270403_0717,314307,270403,11,11,15,2,2,81525,2002,1,81525
303983_816600245709_0717,280904,245709,11,11,16,2,2,16327,2003,1,16327
289315_751652290206_0717,606303,290206,11,11,17,2,2,27706,2010,4,27706
289315_751653800605_0717,606303,800605,11,11,17,2,2,20661,2010,4,20661
302191_830659850308_0717,806708,850308,11,11,17,2,2,45441,2253,4,45441
302191_830661225902_0717,806708,225902,11,11,17,2,2,31399,2253,4,31399
302191_830666592401_0717,806708,592401,11,11,17,2,2,30982,2253,4,30982
303483_829176817600_0717,260107,817600,11,11,17,2,2,39415,2261,4,39415
303524_825559684001_0717,761602,684001,11,11,17,2,2,30171,2087,4,30171
303911_816383245709_0717,20502,245709,11,11,17,2,2,28530,2004,4,28530
303965_830558252401_0717,513109,252401,11,11,17,2,2,36179,2010,4,36179
304739_818108521001_0717,644606,521001,11,11,17,2,2,39403,2003,4,39403
307008_825714011400_0717,211903,11400,11,11,17,2,2,51613,2004,4,51613
307668_827819690002_0717,651807,690002,11,11,17,2,2,28705,2088,4,28705
306556_824227525407_0717,194009,525407,11,11,17,2,2,48993,2254,1,48993
302191_830671883809_0717,806708,883809,11,11,18,2,2,57727,2001,4,57727
302252_813039535907_0717,196502,535907,11,11,18,2,2,43661,2254,4,43661
303863_816263402000_0717,592204,402000,11,11,18,3,3,6789,2087,4,6789
303911_816384192906_0717,20502,192906,11,11,18,2,2,26612,2004,4,26612
305172_819066781004_0717,593300,781004,11,11,18,2,2,24314,2038,4,24314
305180_819086192906_0717,21806,192906,11,11,18,3,3,36619,2007,4,36619
305181_819094800008_0717,302507,800008,11,11,18,2,2,35073,2003,4,35073
306445_823999853109_0717,654701,853109,11,11,18,2,2,37936,2004,4,37936
306445_824002290206_0717,654701,290206,11,11,18,2,2,63007,2004,4,63007
306707_824627834108_0717,932103,834108,11,11,18,2,2,18360,2040,4,18360
307040_825800790003_0717,194403,790003,11,11,18,2,2,46235,2037,4,46235
302218_812966780800_0717,198404,780800,11,11,18,4,4,48898,2006,3,48898
308296_830594785109_0717,843906,785109,11,11,18,2,2,43766,2004,1,43766
295184_771333946801_0717,882506,946801,11,11,19,2,2,69300,2019,4,69300
301659_811179194507_0717,102901,194507,11,11,19,2,2,47449,2004,4,47449
302191_830665521001_0717,806708,521001,11,11,19,2,2,37864,2253,4,37864
302584_813716035508_0717,637104,35508,11,11,19,2,2,32009,2003,4,32009
302666_813895524000_0717,70709,524000,11,11,19,2,2,39303,2031,4,39303
303513_825987180504_0717,100001,180504,11,11,19,2,2,32466,2011,4,32466
304316_817256946801_0717,893500,946801,11,11,19,2,2,55080,2040,4,55080
304412_817432696102_0717,781004,696102,11,11,19,2,2,35541,2124,4,35541
304708_818042850204_0717,635306,850204,11,11,19,2,2,56847,2291,4,56847
304760_818151320007_0717,250904,320007,11,11,19,2,2,32668,2085,4,32668
305131_818967790408_0717,582404,790408,11,11,19,2,2,18726,2002,4,18726
305213_819143520901_0717,271101,520901,11,11,19,2,2,42211,2279,4,42211
306544_824207946801_0717,892103,946801,11,11,19,2,2,89550,2257,4,89550
306622_824427790408_0717,190008,790408,11,11,19,2,2,92014,2040,4,92014
307054_826598696206_0717,800605,696206,11,11,19,2,2,35287,2339,4,35287
295565_821944035601_0717,625200,35601,11,11,19,2,2,47481,2039,3,47481
304293_817216792102_0717,198508,792102,11,11,19,2,2,59396,2257,1,59396
304736_827011801208_0717,195800,801208,11,11,19,3,3,55516,2005,1,55516
304775_824967780603_0717,30006,780603,11,11,19,2,2,39336,2257,1,39336
302201_812940950008_0717,932103,950008,11,11,20,2,2,49858,2039,4,49858
302277_813102775408_0717,924605,775408,11,11,20,2,2,27492,2003,4,27492
302578_830448885805_0717,946801,885805,11,11,20,2,2,9851,2011,4,9851
303010_814607890907_0717,248504,890907,11,11,20,2,2,44486,2002,4,44486
303033_814638851207_0717,194507,851207,11,11,20,2,2,57283,2291,4,57283
303883_829229696206_0717,805707,696206,11,11,20,6,6,34529,2340,4,34529
304395_817397778406_0717,32406,778406,11,11,20,2,2,26519,2001,4,26519
304395_817401828501_0717,32406,828501,11,11,20,2,2,31355,2001,4,31355
305131_818966850204_0717,582404,850204,11,11,20,2,2,27351,2002,4,27351
306772_824935831203_0717,33409,831203,11,11,20,2,2,55832,2012,4,55832
307141_826095798202_0717,262704,798202,11,11,20,2,2,54049,2261,4,54049
308302_830603531304_0717,520901,531304,11,11,20,5,5,21739,2010,4,21739
301852_829033770103_0717,525801,770103,11,11,20,5,5,29342,2024,1,29342
307767_828481607908_0717,834108,607908,11,11,20,5,5,43923,2010,1,43923
302575_813703801405_0717,769303,804808,11,11,21,2,2,36048,2004,4,36048
304292_829030851207_0717,581407,851207,11,11,21,2,2,48051,2038,4,48051
304743_818131602001_0717,860206,602001,11,11,21,2,2,16766,2040,4,16766
303946_825904850204_0717,198508,850204,11,11,21,2,2,46209,2005,3,46209
302677_813923799309_0717,612003,799309,11,11,21,3,3,73052,2003,1,73052
302270_813085888201_0717,597706,888201,11,11,22,3,3,42310,2010,4,42310
302609_826000870000_0717,193504,870000,11,11,22,3,3,50970,2005,4,50970
302666_813896853109_0717,70709,853109,11,11,22,2,2,41385,2031,4,41385
302694_813956850204_0717,31808,850204,11,11,22,3,3,53689,2005,4,53689
304395_817400853109_0717,32406,853109,11,11,22,2,2,43279,2001,4,43279
303552_815653882506_0717,610402,882506,11,11,22,2,2,79113,2009,3,79113
303037_824961853109_0717,33004,853109,11,11,22,2,2,49346,2257,1,49346
304775_824966850204_0717,30006,850204,11,11,22,2,2,47111,2259,1,47111
302295_813126890907_0717,60302,890907,11,11,23,2,2,47482,2257,4,47482
302575_813704230506_0717,769303,233345,11,11,23,2,2,49964,2004,4,49964
303571_815680805302_0717,843200,804808,11,11,23,2,2,9938,2033,4,9938
305099_818908713100_0717,806708,713100,11,11,23,2,2,52071,2337,4,52071
305168_819055245709_0717,36801,244208,11,11,23,2,2,39746,2030,4,39746
305174_819069942105_0717,946801,931401,11,11,23,3,3,15639,2011,4,15639
307876_828975805302_0717,844307,804808,11,11,23,2,2,8911,2031,4,8911
308211_830436805302_0717,840109,804808,11,11,23,2,2,9477,2080,4,9477
308270_830483932809_0717,946801,931401,11,11,23,2,2,24761,2011,4,24761
303450_815441888004_0717,439305,888004,11,11,23,2,2,43565,2005,3,43565
302253_826993890004_0717,193805,890004,11,11,23,3,3,64324,2007,1,64324
304722_827005890004_0717,193805,890004,11,11,23,3,3,64324,2005,1,64324
307972_829387923104_0717,608101,923104,11,11,23,9,9,23760,2003,1,23760
301831_811989613608_0717,814903,614206,11,11,24,4,4,29347,2001,4,29347
302211_827171844307_0717,954206,844307,11,11,24,4,4,18203,2032,4,18203
302643_813843890907_0717,844307,888004,11,11,24,2,2,14474,2031,4,14474
303956_816502890108_0717,36801,890108,11,11,24,3,3,42617,2005,4,42617
304791_818254890108_0717,36801,890108,11,11,24,2,2,42617,2005,4,42617
306360_823802932103_0717,845403,931401,11,11,24,2,2,30009,2033,4,30009
307876_828973890907_0717,844307,888004,11,11,24,2,2,14474,2031,4,14474
303983_816597104801_0717,280904,104801,11,11,24,2,2,37892,2003,1,37892
303983_816606498708_0717,280904,498708,11,11,24,2,2,42594,2087,1,42594
304760_818149698606_0717,250904,698606,11,11,25,2,2,42742,2085,4,42742
305431_820186890907_0717,840109,888004,11,11,25,2,2,12646,2038,4,12646
305474_820343933801_0717,840109,931401,11,11,25,7,7,25564,2032,4,25564
305594_820875933801_0717,840109,931401,11,11,25,2,2,25564,2033,4,25564
305825_821821770005_0717,438506,780707,11,11,25,2,2,58451,2010,4,58451
307876_828972933801_0717,844307,931401,11,11,25,2,2,26454,2031,4,26454
303120_827006927105_0717,193805,927105,11,11,25,4,4,63274,2005,1,63274
303123_814808927105_0717,193504,927105,11,11,25,2,2,72106,2257,1,72106
302640_813833520901_0717,814903,525407,11,11,26,11,11,15063,2001,4,15063
302688_813942280100_0717,438406,318609,11,11,26,2,2,33072,2010,4,33072
303434_815414673806_0717,264004,673806,11,11,26,2,2,49326,2339,4,49326
303437_815419850204_0717,581801,851809,11,11,26,3,3,58112,2010,4,58112
305112_830278703908_0717,654701,703908,11,11,26,3,3,60927,2087,4,60927
305944_822180933801_0717,836103,931401,11,11,26,2,2,27130,2032,4,27130
308310_830619722400_0717,871200,722400,11,11,26,2,2,56977,2088,4,56977
303116_814788926403_0717,438800,926403,11,11,26,3,3,53830,2004,3,53830
303983_816609404503_0717,280904,404503,11,11,26,2,2,44555,2087,1,44555
302631_813815648503_0717,846001,651506,11,11,27,2,2,7087,2024,4,7087
304378_817358932809_0717,954704,931401,11,11,27,2,2,13362,2033,4,13362
304395_817398680509_0717,32406,680509,11,11,27,2,2,62630,2087,4,62630
306151_822882934908_0717,850505,931401,11,11,27,2,2,21656,2032,4,21656
306151_822883253207_0717,850505,244208,11,11,27,2,2,7953,2032,4,7953
306158_822893253207_0717,853005,244208,11,11,27,4,4,10394,2003,4,10394
306562_824258935506_0717,36801,935506,11,11,27,2,2,51125,2005,4,51125
303983_816604547001_0717,280904,547001,11,11,27,2,2,47620,2087,1,47620
306625_824435940006_0717,190008,940006,11,11,28,3,3,57046,2042,4,57046
302233_821930722203_0717,233400,722203,11,11,28,3,3,59341,2089,3,59341
304670_817978700100_0717,612003,700100,11,11,28,2,2,38426,2087,1,38426
288940_750948700100_0717,247206,700100,11,11,29,2,2,75137,2338,4,75137
303547_815647144508_0717,73406,144508,11,11,29,2,2,40370,2086,4,40370
304763_818160736704_0717,633103,736704,11,11,29,2,2,45972,2341,4,45972
306769_826767971907_0717,655206,971907,11,11,29,2,2,74022,2004,4,74022
308137_829964722701_0717,318401,722701,11,11,29,2,2,80176,2086,4,80176
303491_815539970001_0717,602001,970001,11,11,31,4,4,59572,2034,4,59572
303957_826368674103_0717,806803,674103,11,11,31,2,2,38280,2087,4,38280
305688_825497722203_0717,895101,722203,11,11,31,2,2,44400,2110,4,44400
302600_813757722203_0717,302304,722203,11,11,31,2,2,36621,2340,1,36621
303983_824481704309_0717,280904,704309,11,11,31,2,2,63300,2087,1,63300
305143_823983521001_0717,817102,521001,11,11,32,2,2,35937,2255,4,35937
306667_824535960103_0717,32105,960103,11,11,32,3,3,56576,2289,4,56576
302600_813748700308_0717,302304,700308,11,11,32,2,2,49089,2340,1,49089
305099_818913035508_0717,806708,35508,11,11,33,2,2,42387,2253,4,42387
303469_826932980605_0717,220504,980605,11,11,33,2,2,77475,2007,1,77475
303952_826928980605_0717,220504,980605,11,11,33,2,2,77475,2005,1,77475
303983_816608722203_0717,280904,722203,11,11,33,2,2,68466,2087,1,68466
305483_826935988306_0717,194901,988306,11,11,33,2,2,74268,2005,1,74268
305484_826939988306_0717,194901,988306,11,11,33,3,3,74268,2007,1,74268
302196_812933780800_0717,988306,780707,11,11,35,2,2,17655,2002,2,17655
305747_821484947005_0717,883809,947005,11,11,36,2,2,31137,2002,4,31137
302640_813837158209_0717,814903,158209,11,11,37,3,3,33740,2085,4,33740
307876_828972933801_0718,844307,931401,11,11,25,2,2,26454,2031,4,26454
302600_813751546808_0718,302304,546808,11,11,25,2,2,48842,2341,1,48842
303120_827006927105_0718,193805,927105,11,11,25,5,5,63274,2005,1,63274
302214_812962720000_0718,255607,720000,11,11,26,2,2,83507,2341,4,83507
302277_813104680509_0718,924605,680509,11,11,26,2,2,45061,2087,4,45061
302640_813833520901_0718,814903,525407,11,11,26,11,11,15063,2001,4,15063
303072_814706927209_0718,38101,927209,11,11,26,2,2,37716,2037,4,37716
303434_815414673806_0718,264004,673806,11,11,26,2,2,49326,2339,4,49326
303437_815419850204_0718,581801,851809,11,11,26,2,2,58112,2010,4,58112
305112_830278703908_0718,654701,703908,11,11,26,3,3,60927,2087,4,60927
302616_813783851207_0714,438302,851207,12,12,21,2,2,36104,2001,2,36104
304395_817400853109_0714,32406,853109,12,12,22,2,2,43279,2001,4,43279
302575_813704230506_0714,769303,233345,12,12,23,2,2,49964,2004,4,49964
305309_819649890004_0714,195800,890004,12,12,23,2,2,49473,2258,1,49473
301831_811989613608_0714,814903,614206,12,12,24,4,4,29347,2001,4,29347
302631_813813890907_0714,846001,888004,12,12,24,2,2,14100,2024,4,14100
302230_812994770300_0718,800402,770300,12,12,14,2,2,32484,2256,4,32484
302577_813709942105_0718,946801,942105,12,12,14,2,2,25768,2032,4,25768
302662_813890942105_0718,946801,942105,12,12,14,2,2,10395,2025,4,10395
303066_829867194403_0718,594604,194403,12,12,14,3,3,19579,2010,4,19579
303080_814714767308_0718,780001,767308,12,12,14,4,4,9749,2004,4,9749
303865_816265270306_0718,260003,270306,12,12,14,2,2,9749,2003,4,9749
303899_816355250707_0718,648109,250707,12,12,14,2,2,40015,2003,4,40015
304783_818227942105_0718,946801,942105,12,12,14,2,2,10395,2011,4,10395
302648_813850620508_0718,611509,620508,12,12,14,6,6,26494,2032,1,26494
302191_830663770300_0718,806708,770300,12,12,15,2,2,30558,2253,4,30558
302191_830667828501_0718,806708,828501,12,12,15,4,4,28841,2253,4,28841
302220_812970199407_0718,601102,199407,12,12,15,2,2,15767,2004,4,15767
302220_812975644803_0718,601102,644803,12,12,15,2,2,21781,2004,4,21781
302584_813718310607_0718,637104,310607,12,12,15,2,2,19416,2005,4,19416
303471_815502761405_0718,244208,761405,12,12,15,3,3,37182,2289,4,37182
303953_816496800101_0718,644708,800101,12,12,15,2,2,38959,2284,4,38959
304384_817373780209_0718,252401,780209,12,12,15,2,2,39198,2289,4,39198
304677_817988284101_0718,310109,284101,12,12,15,2,2,9616,2002,3,9616
295685_772290532909_0718,536308,532909,12,12,15,2,2,30435,2003,1,30435
303115_814784544501_0718,618207,544501,12,12,15,5,5,31494,2018,1,31494
308123_829894781004_0718,638501,781004,12,12,15,2,2,62355,2002,1,62355
286916_746816946801_0718,932103,946801,12,12,16,2,2,62738,2032,4,62738
302183_812890251305_0718,434208,251305,12,12,16,2,2,29042,2004,4,29042
302191_830658243607_0718,806708,243607,12,12,16,2,2,29922,2001,4,29922
303483_829177780001_0718,260107,780001,12,12,16,2,2,37367,2261,4,37367
303554_815656770300_0718,246203,770300,12,12,16,2,2,35882,2002,4,35882
303862_816261251305_0718,436701,251305,12,12,16,2,2,32666,2004,4,32666
303965_830557644004_0718,513109,644004,12,12,16,2,2,39895,2010,4,39895
303970_816559930108_0718,946801,930108,12,12,16,2,2,28079,2011,4,28079
305131_818968657606_0718,582404,657606,12,12,16,2,2,22563,2002,4,22563
305163_819040932809_0718,946801,932809,12,12,16,2,2,26224,2011,4,26224
305462_820267890907_0718,843408,890907,12,12,16,10,10,25065,2033,4,25065
306234_823291910000_0718,970001,910000,12,12,16,2,2,33162,2032,4,33162
308256_830405657705_0718,526005,657705,12,12,16,2,2,26639,2004,4,26639
303935_816466659006_0718,610506,659006,12,12,16,3,3,32886,2039,3,32886
303091_814750638003_0718,302304,638003,12,12,16,2,2,39807,2256,1,39807
303983_816600245709_0718,280904,245709,12,12,16,2,2,16327,2003,1,16327
302191_830659850308_0718,806708,850308,12,12,17,2,2,45441,2253,4,45441
302191_830661225902_0718,806708,225902,12,12,17,2,2,31399,2253,4,31399
302191_830666592401_0718,806708,592401,12,12,17,2,2,30982,2253,4,30982
302220_812976780603_0718,601102,780603,12,12,17,2,2,21811,2004,4,21811
303066_829868817600_0718,594604,817600,12,12,17,3,3,23495,2010,4,23495
303491_815540800205_0718,602001,800205,12,12,17,4,4,21555,2034,4,21555
303524_825559684001_0718,761602,684001,12,12,17,2,2,30171,2087,4,30171
304357_817320260200_0718,526005,260200,12,12,17,2,2,19350,2004,4,19350
307521_830059927105_0718,870000,927105,12,12,17,3,3,33332,2032,4,33332
307668_827819690002_0718,651807,690002,12,12,17,2,2,28705,2088,4,28705
304405_817417300107_0718,289503,300107,12,12,17,2,2,42008,2002,3,42008
303117_814792780603_0718,601600,780603,12,12,17,2,2,21811,2001,2,21811
302191_830671883809_0718,806708,883809,12,12,18,2,2,57727,2001,4,57727
302252_813039535907_0718,196502,535907,12,12,18,2,2,43661,2254,4,43661
302270_813086780603_0718,597706,780603,12,12,18,3,3,23495,2010,4,23495
302282_813110035508_0718,597104,35508,12,12,18,2,2,30405,2003,4,30405
303004_814599288901_0718,781907,288901,12,12,18,2,2,55456,2012,4,55456
303038_814644522803_0718,264803,522803,12,12,18,2,2,54329,2268,4,54329
303911_816384192906_0718,20502,192906,12,12,18,2,2,26612,2004,4,26612
304715_818065853109_0718,652602,853109,12,12,18,2,2,48858,2004,4,48858
305180_819086192906_0718,21806,192906,12,12,18,3,3,36619,2007,4,36619
305181_819094800008_0718,302507,800008,12,12,18,2,2,35073,2003,4,35073
306445_823999853109_0718,654701,853109,12,12,18,2,2,37936,2004,4,37936
306445_824002290206_0718,654701,290206,12,12,18,2,2,63007,2004,4,63007
306450_824018780603_0718,42003,780603,12,12,18,2,2,68556,2259,4,68556
306707_824627834108_0718,932103,834108,12,12,18,2,2,18360,2040,4,18360
307040_825800790003_0718,194403,790003,12,12,18,2,2,46235,2037,4,46235
302218_812966780800_0718,198404,780800,12,12,18,4,4,48898,2006,3,48898
304380_829943289904_0718,305007,289904,12,12,18,3,3,42242,2255,1,42242
301659_811179194507_0718,102901,194507,12,12,19,2,2,47449,2004,4,47449
302183_812887770005_0718,434208,770005,12,12,19,2,2,25915,2004,4,25915
302191_830665521001_0718,806708,521001,12,12,19,2,2,37864,2253,4,37864
302584_813716035508_0718,637104,35508,12,12,19,2,2,32009,2003,4,32009
302612_822390532909_0718,235507,532909,12,12,19,2,2,47113,2002,4,47113
302666_813895524000_0718,70709,524000,12,12,19,2,2,39303,2031,4,39303
303513_825987180504_0718,100001,180504,12,12,19,2,2,32466,2011,4,32466
304316_817256946801_0718,893500,946801,12,12,19,2,2,55080,2040,4,55080
304412_817432696102_0718,781004,696102,12,12,19,2,2,35541,2124,4,35541
304708_818042850204_0718,635306,850204,12,12,19,2,2,56847,2291,4,56847
304760_818151320007_0718,250904,320007,12,12,19,2,2,32668,2085,4,32668
305131_818967790408_0718,582404,790408,12,12,19,2,2,18726,2002,4,18726
305213_819143520901_0718,271101,520901,12,12,19,3,3,42211,2279,4,42211
306544_824207946801_0718,892103,946801,12,12,19,2,2,89550,2257,4,89550
306622_824427790408_0718,190008,790408,12,12,19,2,2,92014,2040,4,92014
295565_821944035601_0718,625200,35601,12,12,19,3,3,47481,2039,3,47481
303861_816259284008_0718,611602,284008,12,12,19,2,2,47068,2284,3,47068
305713_821430180608_0718,382501,180608,12,12,19,2,2,36328,2007,2,36328
304293_817216792102_0718,198508,792102,12,12,19,2,2,59396,2257,1,59396
304736_827011801208_0718,195800,801208,12,12,19,3,3,55516,2005,1,55516
304775_824967780603_0718,30006,780603,12,12,19,2,2,39336,2257,1,39336
302201_812940950008_0718,932103,950008,12,12,20,2,2,49858,2039,4,49858
302277_813102775408_0718,924605,775408,12,12,20,2,2,27492,2003,4,27492
302285_813114803909_0718,38205,803909,12,12,20,2,2,40016,2002,4,40016
303010_814608840109_0718,248504,840109,12,12,20,3,3,47310,2002,4,47310
303883_829229696206_0718,805707,696206,12,12,20,6,6,34529,2340,4,34529
304357_817318770103_0718,526005,770103,12,12,20,2,2,23412,2004,4,23412
304395_817397778406_0718,32406,778406,12,12,20,2,2,26519,2001,4,26519
304395_817401828501_0718,32406,828501,12,12,20,2,2,31355,2001,4,31355
305131_818966850204_0718,582404,850204,12,12,20,2,2,27351,2002,4,27351
308302_830603531304_0718,520901,531304,12,12,20,5,5,21739,2010,4,21739
301852_829033770103_0718,525801,770103,12,12,20,7,7,29342,2024,1,29342
303037_824960778406_0718,33004,778406,12,12,20,2,2,59798,2259,1,59798
306688_824572870405_0718,643302,870405,12,12,20,11,11,63787,2003,1,63787
306872_825206943701_0718,972806,943701,12,12,20,4,4,60644,2032,1,60644
302290_813120840109_0718,611405,840109,12,12,21,2,2,60288,2031,4,60288
302575_813703801405_0718,769303,804808,12,12,21,2,2,36048,2004,4,36048
303477_815511687008_0718,276406,687008,12,12,21,3,3,39760,2355,4,39760
304292_829030851207_0718,581407,851207,12,12,21,2,2,48051,2038,4,48051
304744_818132700007_0718,880106,700007,12,12,21,2,2,44378,2094,4,44378
303946_825904850204_0718,198508,850204,12,12,21,2,2,46209,2005,3,46209
302616_813783851207_0718,438302,851207,12,12,21,2,2,36104,2001,2,36104
302220_812974888201_0718,601102,888201,12,12,22,2,2,39834,2004,4,39834
302609_826000870000_0718,193504,870000,12,12,22,3,3,50970,2005,4,50970
302694_813956850204_0718,31808,850204,12,12,22,3,3,53689,2005,4,53689
303097_814757853109_0718,33409,853109,12,12,22,3,3,51681,2256,4,51681
303927_816440248105_0718,653003,244208,12,12,22,2,2,37835,2003,4,37835
304395_817400853109_0718,32406,853109,12,12,22,2,2,43279,2001,4,43279
306394_823903853109_0718,33409,853109,12,12,22,2,2,51681,2040,4,51681
303037_824961853109_0718,33004,853109,12,12,22,2,2,49346,2257,1,49346
304775_824966850204_0718,30006,850204,12,12,22,2,2,47111,2259,1,47111
302295_813126890907_0718,60302,890907,12,12,23,2,2,47482,2257,4,47482
302575_813704230506_0718,769303,233345,12,12,23,2,2,49964,2004,4,49964
303535_815619522201_0718,841008,522201,12,12,23,2,2,18180,2038,4,18180
304740_829742762709_0718,262403,780707,12,12,23,2,2,36880,2285,4,36880
305099_818908713100_0718,806708,713100,12,12,23,2,2,52071,2337,4,52071
305141_818988917207_0718,851601,917207,12,12,23,2,2,29904,2026,4,29904
305174_819069942105_0718,946801,931401,12,12,23,3,3,15639,2011,4,15639
307876_828975805302_0718,844307,804808,12,12,23,2,2,8911,2031,4,8911
308211_830436805302_0718,840109,804808,12,12,23,2,2,9477,2080,4,9477
303450_815441888004_0718,439305,888004,12,12,23,2,2,43565,2005,3,43565
302253_826993890004_0718,193805,890004,12,12,23,3,3,64324,2007,1,64324
304722_827005890004_0718,193805,890004,12,12,23,3,3,64324,2005,1,64324
301831_811989613608_0718,814903,614206,12,12,24,4,4,29347,2001,4,29347
302183_812888888004_0718,434208,888004,12,12,24,2,2,45432,2004,4,45432
302643_813843890907_0718,844307,888004,12,12,24,3,3,14474,2031,4,14474
303956_816502890108_0718,36801,890108,12,12,24,2,2,42617,2005,4,42617
304343_817298773101_0718,844701,793118,12,12,24,2,2,12910,2031,4,12910
304791_818254890108_0718,36801,890108,12,12,24,2,2,42617,2005,4,42617
304798_826989675303_0718,270306,675303,12,12,24,2,2,41911,2085,4,41911
307876_828973890907_0718,844307,888004,12,12,24,2,2,14474,2031,4,14474
303983_816597104801_0718,280904,104801,12,12,24,2,2,37892,2003,1,37892
303983_816606498708_0718,280904,498708,12,12,24,2,2,42594,2087,1,42594
304760_818149698606_0718,250904,698606,12,12,25,2,2,42742,2085,4,42742
304763_818158673905_0718,633103,673905,12,12,25,2,2,40173,2341,4,40173
305431_820186890907_0718,840109,888004,12,12,25,2,2,12646,2038,4,12646
305474_820343933801_0718,840109,931401,12,12,25,7,7,25564,2032,4,25564
305594_820875933801_0718,840109,931401,12,12,25,2,2,25564,2033,4,25564
305825_821822280100_0718,438506,318609,12,12,26,2,2,37921,2010,4,37921
305944_822180933801_0718,836103,931401,12,12,26,2,2,27130,2032,4,27130
303116_814788926403_0718,438800,926403,12,12,26,3,3,53830,2004,3,53830
302631_813815648503_0718,846001,651506,12,12,27,2,2,7087,2024,4,7087
302643_813842648503_0718,844307,651506,12,12,27,3,3,7706,2031,4,7706
303532_815616722400_0718,760900,722400,12,12,27,2,2,45059,2096,4,45059
304395_817398680509_0718,32406,680509,12,12,27,2,2,62630,2087,4,62630
306151_822882934908_0718,850505,931401,12,12,27,2,2,21656,2032,4,21656
306151_822883253207_0718,850505,244208,12,12,27,2,2,7953,2032,4,7953
306158_822893253207_0718,853005,244208,12,12,27,4,4,10394,2003,4,10394
306562_824258935506_0718,36801,935506,12,12,27,2,2,51125,2005,4,51125
302600_813749674000_0718,302304,674000,12,12,27,2,2,37468,2340,1,37468
303983_816604547001_0718,280904,547001,12,12,27,2,2,47620,2087,1,47620
302230_812996970406_0718,800402,970406,12,12,28,2,2,22484,2256,4,22484
306625_824435940006_0718,190008,940006,12,12,28,3,3,57046,2042,4,57046
302233_821930722203_0718,233400,722203,12,12,28,3,3,59341,2089,3,59341
305493_822538722203_0718,233400,722203,12,12,28,2,2,59341,2089,3,59341
304670_817978700100_0718,612003,700100,12,12,28,2,2,38426,2087,1,38426
304678_817989722203_0718,882506,722203,12,12,29,3,3,42633,2109,4,42633
306769_826767971907_0718,655206,971907,12,12,29,2,2,74022,2004,4,74022
303983_824481704309_0718,280904,704309,12,12,31,2,2,63300,2087,1,63300
304378_817357844307_0718,954704,851809,12,12,32,2,2,15313,2026,4,15313
305172_819067960103_0718,593300,960103,12,12,32,2,2,61525,2038,4,61525
306667_824535960103_0718,32105,960103,12,12,32,3,3,56576,2289,4,56576
302600_813753706304_0718,302304,706304,12,12,32,2,2,57782,2341,1,57782
305099_818913035508_0718,806708,35508,12,12,33,2,2,42387,2253,4,42387
303469_826932980605_0718,220504,980605,12,12,33,3,3,77475,2007,1,77475
303952_826928980605_0718,220504,980605,12,12,33,2,2,77475,2005,1,77475
303983_816608722203_0718,280904,722203,12,12,33,2,2,68466,2087,1,68466
305483_826935988306_0718,194901,988306,12,12,33,2,2,74268,2005,1,74268
304381_817364193504_0718,988306,193504,12,12,34,2,2,16200,2007,2,16200
302196_812933780800_0718,988306,780707,12,12,35,2,2,17655,2002,2,17655
304799_818274780800_0718,988306,780707,12,12,35,2,2,17655,2005,2,17655
305747_821484947005_0718,883809,947005,12,12,36,2,2,31137,2002,4,31137
302640_813832400907_0718,814903,400907,12,12,39,4,4,33160,2085,4,33160
304319_825286960103_0718,831400,931401,12,12,41,2,2,26547,2038,4,26547
303138_814836797500_0719,797303,797500,13,13,12,6,6,28014,2004,4,28014
