Отправление,Прибытие,Тип простоя,Модель вагона,День отправления (от начала расчета),День прибытия (от начала расчета),Количество,Цена порожнего пробега (за вагон),Код следующего заказa,Расчитанный тариф следующего заказа
18409,21806,P,2135,0,9.0,1,33915,305180_819086192906_0715,-
18409,21806,P,2135,0,9.0,1,33915,305180_819086192906_0715,-
780001,654701,P,2155,0,8.0,1,14694,306445_823999853109_0715,-
780001,654701,P,2155,0,8.0,1,14694,306445_823999853109_0715,-
767308,654701,P,2164,0,8.0,1,22727,306445_824002290206_0715,-
767308,654701,P,2164,0,8.0,1,22727,306445_824002290206_0715,-
948309,932103,P,2158,0,9.0,1,18300,306707_824627834108_0715,-
948309,932103,P,2053,0,9.0,1,18300,306707_824627834108_0715,-
761104,190205,P,2070,0,9.0,1,36020,307630_827613792102_0715,-
762304,190205,P,2070,0,9.0,1,18300,307630_827613792102_0715,-
543301,611602,P,2146,0,9.0,1,23470,305764_821526290206_0715,-
543301,611602,P,2071,0,9.0,1,23470,305764_821526290206_0715,-
528602,611602,P,2164,0,8.0,1,24664,305843_821883773506_0715,-
520901,611602,P,2071,0,8.0,1,19054,305843_821883773506_0715,-
147008,102901,P,2070,0,9.0,1,19157,301659_811179194507_0715,-
147008,102901,P,2070,0,9.0,1,19157,301659_811179194507_0715,-
527008,434208,P,2052,0,9.0,1,33117,302183_812887770005_0715,-
527008,434208,P,2052,0,9.0,1,33117,302183_812887770005_0715,-
828501,659006,P,2048,0,8.0,1,19905,302628_821524690200_0715,-
828501,659006,P,2048,0,8.0,1,19905,302628_821524690200_0715,-
801405,659006,P,2043,0,8.0,1,21763,302628_821543690002_0715,-
780001,659006,P,2043,0,8.0,1,24546,302628_821543690002_0715,-
780001,770809,P,2070,0,5.0,1,2486,303959_816513891806_0715,-
780001,770809,P,2070,0,5.0,1,2486,303959_816513891806_0715,-
780001,635306,P,2070,0,9.0,1,29926,304708_818042850204_0715,-
780001,635306,P,2070,0,9.0,1,29926,304708_818042850204_0715,-
780800,250904,P,2153,0,8.0,1,21002,304760_818151320007_0715,-
770300,250904,P,2153,0,8.0,1,24546,304760_818151320007_0715,-
230506,38205,P,2070,0,9.0,1,26679,306817_825058780603_0715,-
230506,38205,P,2043,0,9.0,1,26679,306817_825058780603_0715,-
35004,38205,P,2052,0,6.0,1,668,306817_825058780603_0715,-
35004,38205,P,2052,0,6.0,1,668,306817_825058780603_0715,-
527008,611602,P,2052,0,8.0,1,13040,307822_828751284008_0715,-
520901,611602,P,2164,0,8.0,1,19054,307822_828751284008_0715,-
531304,191804,P,2052,0,9.0,1,31544,308198_830150289904_0715,-
520901,191804,P,2070,0,9.0,1,35640,308198_830150289904_0715,-
817600,625200,P,2070,0,9.0,1,29926,295565_821944035601_0715,-
817600,625200,P,2070,0,9.0,1,29926,295565_821944035601_0715,-
520901,612107,P,2068,0,8.0,1,19054,303520_825590663306_0715,-
520901,612107,P,2068,0,8.0,1,19054,303520_825590663306_0715,-
926403,932103,P,2061,0,9.0,1,33117,302201_812940950008_0715,-
888004,932103,P,2070,0,9.0,1,29926,302201_812940950008_0715,-
814104,601102,P,2043,0,9.0,1,35640,302220_812971853109_0715,-
520901,601102,P,2068,0,8.0,1,28757,302220_812971853109_0715,-
269601,32406,P,2135,0,9.0,1,30779,304395_817397778406_0715,-
269601,32406,P,2135,0,9.0,1,30779,304395_817397778406_0715,-
592401,32406,P,2135,0,9.0,1,33117,304395_817401828501_0715,-
190008,32406,P,2144,0,9.0,1,22727,304395_817401828501_0715,-
520901,610506,P,2044,0,8.0,1,20019,303935_816459834108_0715,-
520901,610506,P,2044,0,8.0,1,20019,303935_816459834108_0715,-
520901,610506,P,2044,0,8.0,1,20019,303935_816459834108_0715,-
520901,518009,P,2068,0,6.0,1,8367,304353_817312790003_0715,-
520901,518009,P,2068,0,6.0,1,8367,304353_817312790003_0715,-
520901,518009,P,2068,0,6.0,1,8367,304353_817312790003_0715,-
520901,518009,P,2146,0,6.0,1,8367,304353_817312790003_0715,-
767308,769303,P,2067,0,6.0,1,6327,302575_813701780001_0715,-
780001,769303,P,2070,0,7.0,1,15436,302575_813701780001_0715,-
780001,769303,P,2041,0,7.0,1,15436,302575_813703801405_0715,-
767308,769303,P,2070,0,6.0,1,6327,302575_813703801405_0715,-
623600,633103,P,2068,0,8.0,1,12560,302669_813899546808_0715,-
623600,633103,P,2062,0,8.0,1,12560,302669_813899546808_0715,-
520901,581407,P,2070,0,8.0,1,24546,304292_829030851207_0715,-
520901,581407,P,2070,0,8.0,1,24546,304292_829030851207_0715,-
520901,438800,P,2146,0,8.0,1,27867,303116_814787851207_0715,-
520901,438800,P,2146,0,8.0,1,27867,303116_814787851207_0715,-
438302,195800,P,2135,0,9.0,1,20019,305309_819650851207_0715,-
297703,195800,P,2162,0,9.0,1,12030,305309_819650851207_0715,-
520901,612003,P,2146,0,8.0,1,19054,302677_813923799309_0715,-
520901,612003,P,2146,0,8.0,1,19054,302677_813923799309_0715,-
520901,612003,P,2146,0,8.0,1,19054,302677_813923799309_0715,-
520901,601102,P,2146,0,8.0,1,28757,302220_812974888201_0715,-
520901,601102,P,2146,0,8.0,1,28757,302220_812974888201_0715,-
35004,33409,P,2052,0,6.0,1,668,303097_814757853109_0715,-
54104,33409,P,2164,0,7.0,1,7774,303097_814757853109_0715,-
198508,32406,P,2144,0,9.0,1,22727,304395_817400853109_0715,-
190008,32406,P,2153,0,9.0,1,22727,304395_817400853109_0715,-
36905,36801,P,2137,0,6.0,1,241,304791_818253850204_0715,-
280904,36801,P,2155,0,9.0,1,27867,304791_818253850204_0715,-
520901,438506,P,2164,0,8.0,1,27867,305825_821820625107_0715,-
285602,282002,P,2071,0,6.0,1,7774,305139_818976096605_0715,-
285602,282002,P,2068,0,6.0,1,7774,305139_818976096605_0715,-
790408,769303,P,2070,0,8.0,1,22727,302575_813704230506_0715,-
770005,769303,P,2052,0,7.0,1,11911,302575_813704230506_0715,-
520901,439305,P,2164,0,8.0,1,26679,303450_815441888004_0715,-
520901,439305,P,2164,0,8.0,1,26679,303450_815441888004_0715,-
644004,193805,P,2153,0,9.0,1,12030,302253_826993890004_0715,-
644004,193805,P,2135,0,9.0,1,12030,302253_826993890004_0715,-
592401,193805,P,2146,0,9.0,1,12560,304722_827005890004_0715,-
613006,193805,P,2041,0,9.0,1,18256,304722_827005890004_0715,-
648503,193805,P,2050,0,9.0,1,31582,304722_827005890004_0715,-
520901,434208,P,2164,0,9.0,1,33117,302183_812888888004_0715,-
520901,434208,P,2164,0,9.0,1,33117,302183_812888888004_0715,-
980605,954206,P,2052,0,9.0,1,0,302211_827171844307_0715,-
910000,954206,P,2146,0,8.0,1,0,302211_827171844307_0715,-
970406,954206,P,2061,0,7.0,1,0,302211_827171844307_0715,-
948309,954206,P,2164,0,9.0,1,18970,302211_827171844307_0715,-
33502,36801,P,2140,1,7.0,1,668,303956_816502890108_0715,-
74803,36801,P,2053,1,7.0,1,2764,303956_816502890108_0715,-
840109,844701,P,2052,0,7.0,1,9072,304343_817298773101_0715,-
680509,817102,P,2070,0,8.0,1,171,305143_823949237609_0715,-
680509,817102,P,2070,0,8.0,1,171,305143_823949237609_0715,-
690200,817102,P,2164,0,9.0,1,2346,305143_823949237609_0715,-
850505,845403,P,2164,0,8.0,1,12560,306360_823802932103_0715,-
840109,845403,P,2071,0,6.0,1,7291,306360_823802932103_0715,-
220504,74004,P,2052,0,8.0,1,28757,307523_827242269309_0715,-
228101,74004,P,2052,0,9.0,1,29926,307523_827242269309_0715,-
817600,250904,P,2153,0,8.0,1,28757,304760_818149698606_0715,-
828501,250904,P,2153,0,8.0,1,20541,304760_818149698606_0715,-
690200,817102,P,2155,0,9.0,1,2346,305143_823982840109_0715,-
680509,817102,P,2061,0,8.0,1,171,305143_823982840109_0715,-
667909,817102,P,2164,0,8.0,1,5723,305143_823982840109_0715,-
520901,438406,P,2164,0,8.0,1,28757,302688_813941770005_0715,-
520901,438406,P,2164,0,8.0,1,28757,302688_813941770005_0715,-
780800,654701,P,2070,0,8.0,1,14694,305112_830278703908_0715,-
780800,654701,P,2070,0,8.0,1,14694,305112_830278703908_0715,-
817507,654701,P,2070,0,7.0,1,5095,305112_830278703908_0715,-
840109,836103,P,2052,0,7.0,1,9072,305944_822180933801_0715,-
840109,836103,P,2052,0,7.0,1,9072,305944_822180933801_0715,-
781701,775605,P,2164,0,7.0,1,17549,308056_829644722400_0715,-
780302,775605,P,2164,0,7.0,1,8031,308056_829644722400_0715,-
288308,280904,P,2070,0,8.0,1,21002,303983_816609404503_0715,-
191509,32406,P,2070,0,9.0,1,22727,304395_817398680509_0715,-
198002,32406,P,2070,0,9.0,1,16234,304395_817398680509_0715,-
850308,853005,P,2070,0,5.0,1,1596,306158_822893253207_0715,-
850308,853005,P,2070,0,5.0,1,1596,306158_822893253207_0715,-
850308,853005,P,2070,0,5.0,1,1596,306158_822893253207_0715,-
850308,853005,P,2070,0,5.0,1,1596,306158_822893253207_0715,-
36905,36801,P,2050,1,7.0,1,241,306562_824258935506_0715,-
35809,36801,P,2155,1,7.0,1,477,306562_824258935506_0715,-
288704,280904,P,2070,0,8.0,1,21763,303983_816604547001_0715,-
285602,280904,P,2164,0,7.0,1,11243,303983_816604547001_0715,-
767308,233400,P,2052,0,9.0,1,33915,302233_821930722203_0715,-
767308,233400,P,2052,0,9.0,1,33915,302233_821930722203_0715,-
780001,769303,P,2146,0,7.0,1,15436,302575_813702892103_0715,-
780001,769303,P,2146,0,7.0,1,15436,302575_813702892103_0715,-
228101,73406,P,2070,0,9.0,1,30779,303547_815647144508_0715,-
228101,73406,P,2070,0,9.0,1,30779,303547_815647144508_0715,-
245709,32406,P,2070,0,9.0,1,31948,304395_817404555900_0715,-
245709,32406,P,2061,0,9.0,1,31948,304395_817404555900_0715,-
767308,655206,P,2052,0,9.0,1,23470,306769_826767971907_0715,-
767308,655206,P,2052,0,9.0,1,23470,306769_826767971907_0715,-
850308,846001,P,2043,0,7.0,1,9072,302631_813814060904_0715,-
850308,846001,P,2043,0,7.0,1,9072,302631_813814060904_0715,-
932103,895101,P,2155,0,8.0,1,20019,305688_825497722203_0715,-
932103,895101,P,2155,0,8.0,1,20019,305688_825497722203_0715,-
932103,895101,P,2155,0,8.0,1,20019,305688_825497722203_0715,-
285602,280904,P,2164,0,7.0,1,11243,303983_824481704309_0715,-
285602,280904,P,2070,0,7.0,1,11243,303983_824481704309_0715,-
285602,280904,P,2070,0,7.0,1,11243,303983_816608722203_0715,-
285602,280904,P,2070,0,7.0,1,11243,303983_816608722203_0715,-
767308,194901,P,2050,0,9.0,1,35640,305483_826935988306_0715,-
767308,194901,P,2053,0,9.0,1,35640,305483_826935988306_0715,-
644004,194901,P,2144,0,8.0,1,11467,305484_826939988306_0715,-
520901,194901,P,2135,0,9.0,1,35640,305484_826939988306_0715,-
770300,814903,P,2135,0,8.0,1,18394,302640_820917946801_0715,-
770300,814903,P,2141,0,8.0,1,18394,302640_820917946801_0715,-
817600,814903,P,2135,0,8.0,1,9966,302640_820917946801_0715,-
917207,954600,P,2071,0,8.0,1,0,302281_827971267708_0715,-
981307,954600,P,2062,0,9.0,1,640,302281_827971267708_0715,-
828501,814903,P,2153,0,8.0,1,16234,302640_813837158209_0715,-
770005,814903,P,2070,0,8.0,1,25752,302640_813837158209_0715,-
790408,814903,P,2153,0,8.0,1,26679,302640_813837158209_0715,-
18409,16403,P,2052,0,6.0,1,4379,303546_815646018409_0716,-
18409,16403,P,2052,0,6.0,1,4379,303546_815646018409_0716,-
767308,635503,P,2052,0,8.0,1,28757,307271_826535623600_0716,-
767308,635503,P,2052,0,8.0,1,28757,307271_826535623600_0716,-
767308,635503,P,2043,0,8.0,1,28757,307271_826535623600_0716,-
780001,635503,P,2052,0,9.0,1,29926,307271_826535623600_0716,-
780001,635503,P,2052,0,9.0,1,29926,307271_826535623600_0716,-
780001,635503,P,2052,0,9.0,1,29926,307271_826535623600_0716,-
520901,434208,P,2164,0,9.0,1,33117,302183_812885184100_0716,-
520901,434208,P,2164,0,9.0,1,33117,302183_812885184100_0716,-
780001,805707,P,2052,0,7.0,1,8508,303003_814596770300_0716,-
780001,805707,P,2052,0,7.0,1,8508,303003_814596770300_0716,-
780001,805707,P,2052,0,7.0,1,8508,303003_814596770300_0716,-
520901,594604,P,2164,0,9.0,1,29926,303066_829867194403_0716,-
520901,594604,P,2164,0,9.0,1,29926,303066_829867194403_0716,-
520901,594604,P,2164,0,9.0,1,29926,303066_829867194403_0716,-
520901,594604,P,2070,0,9.0,1,29926,303066_829867194403_0716,-
520901,594604,P,2070,0,9.0,1,29926,303066_829867194403_0716,-
285602,260003,P,2044,0,9.0,1,30779,303865_816265270306_0716,-
285602,260003,P,2043,0,9.0,1,30779,303865_816265270306_0716,-
18409,16403,P,2052,1,7.0,1,4379,303546_815646018409_0717,-
18409,16403,P,2052,1,7.0,1,4379,303546_815646018409_0717,-
520901,594604,P,2070,0,9.0,1,29926,303066_829867194403_0717,-
520901,594604,P,2070,0,9.0,1,29926,303066_829867194403_0717,-
520901,594604,P,2070,0,9.0,1,29926,303066_829867194403_0717,-
520901,594604,P,2070,0,9.0,1,29926,303066_829867194403_0717,-
520901,594604,P,2070,0,9.0,1,29926,303066_829867194403_0717,-
285602,260003,P,2043,0,9.0,1,30779,303865_816265270306_0717,-
285602,260003,P,2070,0,9.0,1,30779,303865_816265270306_0717,-
285602,260003,P,2070,0,9.0,1,30779,303865_816265270306_0717,-
932103,946801,P,2145,0,9.0,1,35640,304337_828863949509_0717,-
932103,946801,P,2145,0,9.0,1,35640,304783_818227942105_0717,-
932103,946801,P,2049,0,9.0,1,35640,304783_818227942105_0717,-
520901,611509,P,2070,0,8.0,1,19054,302648_813850620508_0717,-
520901,611509,P,2070,0,8.0,1,19054,302648_813850620508_0717,-
520901,611509,P,2070,0,8.0,1,19054,302648_813850620508_0717,-
780001,606303,P,2052,0,10.0,1,37551,289315_751650620207_0716,-
780800,606303,P,2052,0,10.0,1,39425,289315_751650620207_0716,-
850204,932103,P,2043,0,10.0,1,41670,302201_812941937003_0716,-
285602,644708,P,2070,0,10.0,1,41670,303953_816495253508_0716,-
285602,644708,P,2070,0,10.0,1,41670,303953_816495253508_0716,-
769604,637104,P,2050,0,9.0,1,35640,302584_813718310607_0716,-
784500,637104,P,2146,0,9.0,1,30779,302584_813718310607_0716,-
936903,950807,P,2164,0,9.0,1,25457,303092_814751954704_0716,-
948309,950807,P,2068,0,7.0,1,6440,303092_814751954704_0716,-
285602,648109,P,2061,0,9.0,1,33915,303899_816354801405_0716,-
288009,648109,P,2061,0,10.0,1,39425,303899_816354801405_0716,-
780800,644708,P,2052,0,8.0,1,26679,303953_816496800101_0716,-
827805,644708,P,2041,0,9.0,1,21985,303953_816496800101_0716,-
770300,635306,P,2052,0,9.0,1,33915,304708_818048610807_0716,-
770300,635306,P,2052,0,9.0,1,33915,304708_818048610807_0716,-
781701,194808,P,2053,0,10.0,1,55325,304710_818052252401_0716,-
780302,194808,P,2140,0,10.0,1,37551,304710_818052252401_0716,-
781701,644606,P,2161,0,8.0,1,31582,304739_818114800101_0716,-
781701,644606,P,2041,0,8.0,1,31582,304739_818114800101_0716,-
285602,250904,P,2144,0,10.0,1,35640,304760_818153220504_0716,-
817600,250904,P,2135,0,8.0,1,28757,304760_818153220504_0716,-
520901,581407,P,2070,0,8.0,1,24546,304766_818167251305_0716,-
520901,581407,P,2070,0,8.0,1,24546,304766_818167251305_0716,-
932103,850401,P,2164,0,10.0,1,41670,306035_822509892103_0716,-
932103,850401,P,2164,0,10.0,1,41670,306035_822509892103_0716,-
528602,612107,P,2041,0,8.0,1,24664,306538_824205250707_0716,-
520901,612107,P,2071,0,8.0,1,19054,306538_824205250707_0716,-
781701,192605,P,2070,0,10.0,1,55325,307939_829240618207_0716,-
780302,192605,P,2052,0,10.0,1,37551,307939_829240618207_0716,-
538708,439305,P,2141,0,9.0,1,23655,303450_815439184100_0716,-
538708,439305,P,2141,0,9.0,1,23655,303450_815439184100_0716,-
771801,310109,P,2052,0,9.0,1,35640,304677_817988284101_0716,-
780302,310109,P,2070,0,9.0,1,35640,304677_817988284101_0716,-
793904,310109,P,2052,0,10.0,1,35640,304677_817988284101_0716,-
817600,618207,P,2052,0,10.0,1,39425,303115_814784544501_0716,-
817600,618207,P,2052,0,10.0,1,39425,303115_814784544501_0716,-
520901,618207,P,2070,0,8.0,1,24546,303115_814784544501_0716,-
520901,618207,P,2070,0,8.0,1,24546,303115_814784544501_0716,-
520901,618207,P,2070,0,8.0,1,24546,303115_814784544501_0716,-
780302,760101,P,2041,0,7.0,1,10464,307886_829024635607_0716,-
780707,760101,P,2041,0,7.0,1,10464,307886_829024635607_0716,-
820001,760101,P,2070,0,8.0,1,24546,307886_829024635607_0716,-
770300,760101,P,2140,0,7.0,1,9777,307886_829024635607_0716,-
780603,760101,P,2053,0,7.0,1,10464,307886_829024635607_0716,-
797407,760101,P,2061,0,9.0,1,33117,307886_829024635607_0716,-
781701,760101,P,2059,0,7.0,1,13367,307886_829024635607_0716,-
780302,760101,P,2158,0,7.0,1,10464,307886_829024635607_0716,-
781701,242005,P,2044,0,9.0,1,52510,302283_829604654504_0716,-
795401,242005,P,2062,0,10.0,1,26822,302283_829604654504_0716,-
520901,234102,P,2070,0,9.0,1,33915,303473_830701531003_0716,-
520901,234102,P,2070,0,9.0,1,33915,303473_830701531003_0716,-
795401,260107,P,2061,0,9.0,1,48792,303483_829175616907_0716,-
795401,260107,P,2061,0,9.0,1,48792,303483_829175616907_0716,-
520901,602001,P,2141,0,9.0,1,30779,303491_815538523505_0716,-
520901,602001,P,2141,0,9.0,1,30779,303491_815538523505_0716,-
817600,602001,P,2141,0,10.0,1,37551,303491_815538523505_0716,-
520901,436701,P,2070,0,9.0,1,33915,303862_816261251305_0716,-
520901,436701,P,2070,0,9.0,1,33915,303862_816261251305_0716,-
520901,513109,P,2070,0,7.0,1,11243,303965_830557644004_0716,-
520901,513109,P,2070,0,7.0,1,11243,303965_830557644004_0716,-
932103,946801,P,2146,0,9.0,1,35640,303970_816559930108_0716,-
932103,946801,P,2050,0,9.0,1,35640,303970_816559930108_0716,-
520901,582404,P,2070,0,8.0,1,22727,305131_818968657606_0716,-
520901,582404,P,2070,0,8.0,1,22727,305131_818968657606_0716,-
520901,582404,P,2070,0,8.0,1,22727,305131_818968657606_0716,-
932103,946801,P,2041,0,9.0,1,35640,305163_819040932809_0716,-
932103,946801,P,2059,1,10.0,1,35640,305163_819040932809_0716,-
851207,843408,P,2155,0,8.0,1,13321,305462_820267890907_0716,-
850308,843408,P,2053,0,8.0,1,12560,305462_820267890907_0716,-
840109,843408,P,2071,0,6.0,1,7291,305462_820267890907_0716,-
840109,843408,P,2053,0,6.0,1,7291,305462_820267890907_0716,-
840109,843408,P,2050,0,6.0,1,7291,305462_820267890907_0716,-
840109,843408,P,2050,0,6.0,1,7291,305462_820267890907_0716,-
840109,843408,P,2050,0,6.0,1,7291,305462_820267890907_0716,-
883809,843408,P,2137,0,8.0,1,25752,305462_820267890907_0716,-
850204,843408,P,2155,0,8.0,1,13321,305462_820267890907_0716,-
850204,843408,P,2155,0,8.0,1,13321,305462_820267890907_0716,-
520901,438800,P,2070,0,8.0,1,27867,303116_814789251305_0716,-
520901,438800,P,2070,0,8.0,1,27867,303116_814789251305_0716,-
288308,280904,P,2164,0,8.0,1,21002,303983_816600245709_0716,-
289904,280904,P,2163,0,9.0,1,29926,303983_816600245709_0716,-
520901,240809,P,2070,0,10.0,1,39425,306800_830643617806_0716,-
520901,240809,P,2061,0,10.0,1,39425,306800_830643617806_0716,-
520901,240809,P,2061,0,10.0,1,39425,306800_830643617806_0716,-
520901,240809,P,2061,0,10.0,1,39425,306800_830643617806_0716,-
520901,240809,P,2061,0,10.0,1,39425,306800_830643617806_0716,-
520901,240809,P,2061,0,10.0,1,39425,306800_830643617806_0716,-
245709,31600,P,2052,0,10.0,1,30779,296521_773944018606_0716,-
228101,31600,P,2052,0,10.0,1,31948,296521_773944018606_0716,-
851207,805707,P,2052,0,10.0,1,37551,303003_814597850308_0716,-
851207,805707,P,2052,0,10.0,1,37551,303003_814597850308_0716,-
851207,805707,P,2052,0,10.0,1,37551,303003_814597850308_0716,-
795401,761602,P,2061,0,8.0,1,8972,303524_825559684001_0716,-
795401,761602,P,2061,0,8.0,1,8972,303524_825559684001_0716,-
282002,20502,P,2053,0,10.0,1,35640,303911_816383245709_0716,-
228101,20502,P,2070,0,10.0,1,35640,303911_816383245709_0716,-
228101,20502,P,2070,0,10.0,1,35640,303911_816383245709_0716,-
520901,644606,P,2061,0,10.0,1,37551,304739_818108521001_0716,-
520901,644606,P,2061,0,10.0,1,37551,304739_818108521001_0716,-
520901,623703,P,2043,0,9.0,1,12274,304761_823720768008_0716,-
831805,651807,P,2070,0,9.0,1,27242,307668_827819690002_0716,-
795401,651807,P,2053,0,7.0,1,24219,307668_827819690002_0716,-
520901,606303,P,2043,0,8.0,1,28757,289315_751651790408_0716,-
520901,606303,P,2043,0,8.0,1,28757,289315_751651790408_0716,-
852200,654701,P,2068,0,10.0,1,23869,306445_823999853109_0716,-
852303,654701,P,2052,0,10.0,1,36880,306445_823999853109_0716,-
852303,654701,P,2146,0,10.0,1,36880,306445_824002290206_0716,-
852303,654701,P,2068,0,10.0,1,36880,306445_824002290206_0716,-
888004,932103,P,2040,0,9.0,1,29926,306707_824627834108_0716,-
850204,932103,P,2140,0,10.0,1,41670,306707_824627834108_0716,-
851207,880002,P,2052,0,8.0,1,14694,306946_825486940006_0716,-
844307,880002,P,2061,0,8.0,1,22727,306946_825486940006_0716,-
844307,800309,P,2061,0,10.0,1,39425,307926_829173890907_0716,-
851207,800309,P,2070,0,9.0,1,33117,307926_829173890907_0716,-
795401,305007,P,2061,0,10.0,1,25457,304380_829943289904_0716,-
760506,305007,P,2070,0,8.0,1,25752,304380_829943289904_0716,-
795401,305007,P,2070,0,10.0,1,25457,304380_829943289904_0716,-
157705,102901,P,2071,0,10.0,1,15054,301659_811179194507_0716,-
157705,102901,P,2155,0,10.0,1,15054,301659_811179194507_0716,-
516200,235507,P,2043,0,10.0,1,24225,302612_822390532909_0716,-
516200,235507,P,2043,0,10.0,1,24225,302612_822390532909_0716,-
150509,100001,P,2070,0,10.0,1,24222,303513_825987180504_0716,-
150509,100001,P,2070,0,10.0,1,24222,303513_825987180504_0716,-
936903,893500,P,2140,0,10.0,1,25457,304316_817256946801_0716,-
936903,893500,P,2140,0,10.0,1,25457,304316_817256946801_0716,-
936903,895402,P,2044,0,10.0,1,26822,304375_817354946801_0716,-
936903,895402,P,2044,0,10.0,1,26822,304375_817354946801_0716,-
520901,635306,P,2043,0,10.0,1,35640,304708_818042850204_0716,-
520901,635306,P,2043,0,10.0,1,35640,304708_818042850204_0716,-
790408,250904,P,2153,0,8.0,1,28757,304760_818151320007_0716,-
611405,250904,P,2153,0,8.0,1,26679,304760_818151320007_0716,-
520901,582404,P,2043,0,8.0,1,22727,305131_818967790408_0716,-
520901,582404,P,2043,0,8.0,1,22727,305131_818967790408_0716,-
284101,190008,P,2071,0,10.0,1,33117,306622_824427790408_0716,-
297703,190008,P,2071,0,9.0,1,12030,306622_824427790408_0716,-
284101,37405,P,2061,0,10.0,1,38437,306687_824568780603_0716,-
284008,37405,P,2070,0,10.0,1,52510,306687_824568780603_0716,-
520901,625200,P,2043,0,9.0,1,33915,295565_821944035601_0716,-
520901,625200,P,2043,0,9.0,1,33915,295565_821944035601_0716,-
520808,195800,P,2050,0,10.0,1,35640,304736_827011801208_0716,-
617806,195800,P,2146,0,10.0,1,33117,304736_827011801208_0716,-
850308,932103,P,2052,0,10.0,1,41670,302201_812940950008_0716,-
850308,932103,P,2052,0,10.0,1,41670,302201_812940950008_0716,-
284008,38205,P,2070,0,10.0,1,35640,302285_813114803909_0716,-
228101,38205,P,2070,0,10.0,1,31948,302285_813114803909_0716,-
194300,32406,P,2135,0,9.0,1,22727,304395_817397778406_0716,-
198902,32406,P,2153,0,9.0,1,22727,304395_817401828501_0716,-
434509,32406,P,2070,0,10.0,1,37551,304395_817401828501_0716,-
537007,582404,P,2070,0,8.0,1,19905,305131_818966850204_0716,-
814208,582404,P,2052,0,10.0,1,26822,305131_818966850204_0716,-
840109,830304,P,2152,0,8.0,1,20019,306066_822615936903_0716,-
850204,830304,P,2155,0,7.0,1,15436,306066_822615936903_0716,-
887001,830304,P,2164,0,9.0,1,31948,306066_822615936903_0716,-
520901,610506,P,2071,0,8.0,1,20019,303935_816459834108_0716,-
520901,610506,P,2071,0,8.0,1,20019,303935_816459834108_0716,-
520901,610506,P,2052,0,8.0,1,20019,303935_816459834108_0716,-
814208,643302,P,2052,0,8.0,1,18394,306688_824572870405_0716,-
800205,643302,P,2050,0,8.0,1,28757,306688_824572870405_0716,-
520901,643302,P,2052,0,10.0,1,39425,306688_824572870405_0716,-
520901,643302,P,2052,0,10.0,1,39425,306688_824572870405_0716,-
520901,643302,P,2052,0,10.0,1,39425,306688_824572870405_0716,-
520901,643302,P,2052,0,10.0,1,39425,306688_824572870405_0716,-
520901,643302,P,2052,0,10.0,1,39425,306688_824572870405_0716,-
795401,643302,P,2070,0,9.0,1,34883,306688_824572870405_0716,-
795401,643302,P,2070,0,9.0,1,34883,306688_824572870405_0716,-
795401,643302,P,2070,0,9.0,1,34883,306688_824572870405_0716,-
797407,769303,P,2146,0,10.0,1,37551,302575_813703801405_0716,-
795401,769303,P,2070,0,8.0,1,13040,302575_813703801405_0716,-
520901,581407,P,2061,0,8.0,1,24546,304292_829030851207_0716,-
520901,581407,P,2061,0,8.0,1,24546,304292_829030851207_0716,-
520901,438800,P,2085,0,8.0,1,27867,303116_814787851207_0716,-
520901,438800,P,2155,0,8.0,1,27867,303116_814787851207_0716,-
617806,198508,P,2050,0,10.0,1,33117,303946_825904850204_0716,-
617806,198508,P,2155,0,10.0,1,33117,303946_825904850204_0716,-
795401,314307,P,2070,0,10.0,1,26822,302256_827511874001_0716,-
795401,314307,P,2070,0,10.0,1,26822,302256_827511874001_0716,-
763701,198508,P,2052,0,10.0,1,35640,304293_817217850204_0716,-
763701,198508,P,2052,0,10.0,1,35640,304293_817217850204_0716,-
228101,33409,P,2070,0,10.0,1,31948,302294_813125853109_0716,-
228101,33409,P,2070,0,10.0,1,31948,302294_813125853109_0716,-
617806,193504,P,2164,0,10.0,1,33117,302609_826000870000_0716,-
617806,193504,P,2164,0,10.0,1,33117,302609_826000870000_0716,-
228101,70709,P,2070,0,8.0,1,27867,302666_813896853109_0716,-
228101,70709,P,2070,0,8.0,1,27867,302666_813896853109_0716,-
283908,31808,P,2164,0,10.0,1,52510,302694_813956850204_0716,-
300304,31808,P,2050,1,10.0,1,21649,302694_813956850204_0716,-
35809,31808,P,2155,1,7.0,1,757,302694_813956850204_0716,-
228101,32406,P,2070,0,8.0,1,28757,304395_817400853109_0716,-
228101,32406,P,2070,0,8.0,1,28757,304395_817400853109_0716,-
851207,832206,P,2070,0,7.0,1,17254,304703_829599771801_0716,-
851207,832206,P,2070,0,7.0,1,17254,304703_829599771801_0716,-
795401,769303,P,2070,0,8.0,1,13040,302575_813704230506_0716,-
795401,769303,P,2070,0,8.0,1,13040,302575_813704230506_0716,-
940006,946801,P,2052,1,8.0,1,11911,305174_819069942105_0716,-
940006,946801,P,2146,1,8.0,1,11911,305174_819069942105_0716,-
940006,946801,P,2050,1,8.0,1,11911,305174_819069942105_0716,-
520901,439305,P,2155,0,8.0,1,26679,303450_815441888004_0716,-
520901,439305,P,2155,0,8.0,1,26679,303450_815441888004_0716,-
795401,304606,P,2070,0,9.0,1,24225,296568_824887780800_0716,-
